"DataPKey","StockID","BroodYear","Stage","Weight","Flag"
6,15,1991,1,1.00,0
7,15,1992,1,1.00,0
8,15,1993,1,1.00,0
11,15,1994,1,1.00,0
12,15,1995,1,1.00,0
13,15,1996,1,1.00,0
14,33,1991,2,1.00,0
15,33,1992,2,1.00,0
16,33,1994,2,1.00,0
17,33,1995,2,1.00,0
18,33,1996,2,1.00,0
